Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
8970884,108705,Female,Loyal Customer,56,Business travel,Business,2818,1,1,1,3,5,4,5,4,4,4,4,4,4,3,2,4.0,satisfied
3143223,7354,Male,Loyal Customer,48,Business travel,Business,2911,4,4,4,2,2,4,1,4,4,5,5,3,5,4,0,0.0,satisfied
10810119,107228,Female,Loyal Customer,60,Business travel,Business,2514,3,3,4,3,3,4,5,5,5,5,3,5,5,5,9,12.0,satisfied
7748627,90220,Female,Loyal Customer,43,Personal Travel,Eco,369,2,5,2,3,3,2,3,3,3,3,4,5,2,3,83,9.0,neutral or dissatisfied
915797,48626,Female,Loyal Customer,28,Personal Travel,Eco,555,1,4,1,4,0,1,2,3,3,1,3,3,3,2,0,32.0,neutral or dissatisfied
4610624,96196,Female,Loyal Customer,7,Personal Travel,Eco,443,3,5,3,1,1,3,2,4,4,3,5,3,4,3,4,12.0,neutral or dissatisfied
10936459,10468,Male,Loyal Customer,37,Business travel,Eco,78,1,3,5,3,3,4,3,1,1,1,1,1,1,1,15,13.0,neutral or dissatisfied
11441858,83340,Female,Loyal Customer,39,Business travel,Business,2437,2,4,5,5,1,4,1,1,2,3,2,1,2,1,12,8.0,neutral or dissatisfied
3187447,99235,Male,Loyal Customer,61,Business travel,Business,1833,4,5,5,5,4,5,5,5,5,4,5,5,5,5,65,72.0,satisfied
14846246,1946,Male,Loyal Customer,49,Business travel,Business,2185,5,5,5,5,4,5,4,4,4,2,4,5,5,4,0,0.0,satisfied
683403,119862,Male,Loyal Customer,14,Business travel,Eco,1068,2,5,5,5,4,2,1,4,4,3,4,5,4,4,0,0.0,neutral or dissatisfied
13931502,34968,Female,Loyal Customer,53,Business travel,Business,3120,2,4,4,4,2,5,4,2,2,2,2,1,2,4,14,18.0,neutral or dissatisfied
550367,84872,Male,Loyal Customer,48,Business travel,Business,810,2,2,2,2,3,5,4,3,4,5,3,3,3,3,129,87.0,satisfied
10454593,103147,Female,Loyal Customer,54,Business travel,Business,2304,4,5,4,5,1,4,5,5,5,5,5,3,5,5,11,3.0,satisfied
3644681,98945,Female,Loyal Customer,53,Business travel,Business,340,3,1,3,1,2,3,5,4,4,4,4,3,4,3,0,0.0,satisfied
5608464,92848,Male,Loyal Customer,56,Business travel,Business,2789,3,4,3,1,2,5,5,5,4,5,5,5,4,4,3,5.0,satisfied
15769834,92434,Male,Loyal Customer,12,Personal Travel,Eco,996,3,3,3,3,4,2,2,4,3,3,3,5,3,4,0,14.0,neutral or dissatisfied
12222591,41674,Male,disloyal Customer,19,Business travel,Eco,1017,2,1,2,3,2,2,2,2,1,1,3,2,3,2,14,5.0,neutral or dissatisfied
13282325,124585,Male,disloyal Customer,30,Business travel,Eco,2006,3,4,3,4,3,3,3,1,1,1,1,1,1,4,0,0.0,neutral or dissatisfied
4952719,116913,Female,disloyal Customer,27,Business travel,Business,607,2,4,4,4,2,2,2,2,1,2,1,2,3,2,2,0.0,neutral or dissatisfied
3789661,8627,Male,Loyal Customer,27,Business travel,Eco Plus,2156,0,0,0,2,3,0,3,3,1,3,5,3,1,3,3,0.0,satisfied
16587930,6421,Female,disloyal Customer,20,Business travel,Eco,691,2,5,1,1,2,2,2,2,3,2,3,2,4,2,85,72.0,neutral or dissatisfied
8955695,65679,Male,Loyal Customer,67,Personal Travel,Eco Plus,2582,3,3,3,5,1,3,2,3,3,3,4,5,3,4,3,5.0,neutral or dissatisfied
10794163,105784,Female,Loyal Customer,55,Business travel,Business,1649,3,3,3,3,3,5,3,3,3,4,4,3,5,3,3,2.0,satisfied
4900880,39678,Male,disloyal Customer,9,Business travel,Business,190,0,0,0,1,5,0,5,1,4,1,2,5,1,4,0,0.0,neutral or dissatisfied
13928266,96669,Male,Loyal Customer,21,Business travel,Business,272,5,3,5,3,3,5,4,3,3,2,3,5,2,3,0,4.0,satisfied
11931517,85541,Male,Loyal Customer,54,Business travel,Business,2449,4,2,2,2,4,4,4,4,3,1,5,3,3,4,3,15.0,satisfied
